Time_ms,Position_cm,Velocity_RPM,,,,
49,289.8103,0,,,1.005526865,6000
129,289.8103,0,0,,,
210,289.8103,0,0,,,
290,289.8103,0,0,,,
370,289.8103,0,0,,,
451,289.8103,0,0,,,
531,289.8103,0,0,,,
612,289.8103,0,0,,,
692,289.8757,4.8999,4.905,0.998960245,,
773,290.4636,44.0987,43.54814815,1.012642371,,
853,291.0843,46.5487,46.5525,0.999918372,,
934,291.6559,42.8738,42.34074074,1.012589748,,
1014,292.2276,42.8738,42.8775,0.999913708,,
1094,292.8319,45.3237,45.3225,1.000026477,,
1175,293.4852,48.9986,48.39259259,1.012522731,,
1256,294.0895,45.3237,44.76296296,1.012526808,,
1336,294.6449,41.6488,41.655,0.999851158,,
1416,295.2328,44.0987,44.0925,1.000140613,,
1497,295.8698,47.7736,47.18518519,1.01247033,,
1577,296.4905,46.5487,46.5525,0.999918372,,
1658,297.0785,44.0987,43.55555556,1.012470153,,
1738,297.6338,41.6488,41.6475,1.000031214,,
1818,298.2544,46.5487,46.545,1.000079493,,
1899,298.9077,48.9986,48.39259259,1.012522731,,
1980,299.5121,45.3237,44.77037037,1.012359282,,
2060,300.0674,41.6488,41.6475,1.000031214,,
2140,300.6554,44.0987,44.1,0.999970522,,
2221,301.2923,47.7736,47.17777778,1.012629298,,
2301,301.913,46.5487,46.5525,0.999918372,,
2382,302.501,44.0987,43.55555556,1.012470153,,
2462,303.2196,53.8985,53.895,1.000064941,,
2542,303.9546,55.1234,55.125,0.999970975,,
2623,304.5099,41.6488,41.13333333,1.012531605,,
2703,304.9346,31.8491,31.8525,0.999893258,,
2784,305.2122,20.8244,20.56296296,1.012713977,,
2864,305.3429,9.7997,9.8025,0.999714359,,
2945,305.3756,2.4499,2.422222222,1.011426606,,
3025,305.3756,0,0,,,
3106,305.3756,0,0,,,
3186,305.3756,0,0,,,
3266,305.3756,0,0,,,
3347,305.3756,0,0,,,
3427,305.3756,0,0,,,
3508,305.3756,0,0,,,
3588,305.3756,0,0,,,
3669,305.3756,0,0,,,
3749,305.3756,0,0,,,
3830,305.3756,0,0,,,
3910,305.3756,0,0,,,
3990,305.3756,0,0,,,
4071,305.3756,0,0,,,
4151,305.3756,0,0,,,
4232,305.3756,0,0,,,
4312,305.3756,0,0,,,
4393,305.3756,0,0,,,
4473,305.6532,20.8244,20.82,1.000211335,,
4554,306.2085,41.6488,41.13333333,1.012531605,,
4634,306.7638,41.6488,41.6475,1.000031214,,
4714,307.3682,45.3237,45.33,0.999861019,,
4795,308.0215,48.9986,48.39259259,1.012522731,,
4876,308.6258,45.3237,44.76296296,1.012526808,,
4956,309.1974,42.8738,42.87,1.00008864,,
5036,309.7691,42.8738,42.8775,0.999913708,,
5117,310.3897,46.5487,45.97037037,1.012580487,,
5197,311.0431,48.9986,49.005,0.999869401,,
5278,311.631,44.0987,43.54814815,1.012642371,,
5358,312.1864,41.6488,41.655,0.999851158,,
5439,312.7907,45.3237,44.76296296,1.012526808,,
5519,313.4277,47.7736,47.775,0.999970696,,
5599,314.0483,46.5487,46.545,1.000079493,,
5680,314.62,42.8738,42.34814815,1.012412629,,
5761,315.1916,42.8738,42.34074074,1.012589748,,
5841,315.8286,47.7736,47.775,0.999970696,,
5921,316.4656,47.7736,47.775,0.999970696,,
6002,317.0699,45.3237,44.76296296,1.012526808,,
6082,317.6252,41.6488,41.6475,1.000031214,,
6163,318.2132,44.0987,43.55555556,1.012470153,,
6243,318.9645,56.3484,56.3475,1.000015972,,
6323,319.5851,46.5487,46.545,1.000079493,,
6404,320.0425,34.299,33.88148148,1.012322912,,
6484,320.3528,23.2743,23.2725,1.000077345,,
6565,320.5488,14.6996,14.51851852,1.012472449,,
6646,320.6141,4.8999,4.837037037,1.012996172,,
6726,320.6141,0,0,,,
6806,320.6141,0,0,,,
