Time_ms,DutyCycle_percent,Position
250,-100.00,0.0000
250,-100.00,0.0000
250,-100.00,0.0000
250,-100.00,0.0000
250,-100.00,0.0000
250,-100.00,0.0000
250,-100.00,0.0000
250,-100.00,0.0000
250,-100.00,0.0000
250,-100.00,0.0000
250,-100.00,0.0000
250,-100.00,0.0000
250,-100.00,0.0000
250,-100.00,0.0000
250,-100.00,0.0000
250,-100.00,0.0000
250,-100.00,0.0000
250,-100.00,0.0000
250,-100.00,0.0000
250,-100.00,0.0000
250,-100.00,0.0000
250,-100.00,0.0000
250,-100.00,0.0000
250,-100.00,0.0000
250,-100.00,0.0000
250,-100.00,0.0000
250,-100.00,0.0000
250,-100.00,0.0000
250,-100.00,0.0000
250,-100.00,0.0000
250,-100.00,0.0000
250,-100.00,0.0000
250,-100.00,0.0000
250,-100.00,0.0000
250,-100.00,0.0000
250,-100.00,0.0000
250,-100.00,0.0000
250,-100.00,0.0000
250,-100.00,0.0000
250,-100.00,0.0000
250,-100.00,0.0000
250,-100.00,0.0000
250,-100.00,0.0000
250,-100.00,0.0000
250,-100.00,0.0000
250,-100.00,0.0000
250,-100.00,0.0000
250,-100.00,0.0000
250,-100.00,0.0000
250,-100.00,0.0000
250,-100.00,0.0000
250,-100.00,0.0000
250,-100.00,0.0000
250,-100.00,0.0000
250,-100.00,0.0000
250,-100.00,0.0000
250,-100.00,0.0000
250,-100.00,0.0000
250,-100.00,0.0000
250,-100.00,0.0000
250,-100.00,0.0000
250,-100.00,0.0000
250,-100.00,0.0000
250,-100.00,0.0000
250,-100.00,0.0000
594,-100.00,0.0000
984,-100.00,0.0000
1406,-100.00,0.0000
1797,-100.00,0.0000
2203,-100.00,0.0000
2609,-100.00,0.0000
3000,-100.00,0.3757
3406,-100.00,1.6660
3812,-100.00,2.9562
4203,-100.00,4.2465
4609,-100.00,5.5532
5016,-100.00,6.8761
5406,-100.00,8.1991
5828,-100.00,9.5057
6234,-100.00,10.8124
6625,-100.00,12.1190
7031,-100.00,13.4256
7437,-100.00,14.7159
7828,-100.00,15.2549
8234,-100.00,15.2549
8641,-100.00,15.2549
9047,-100.00,15.2549
9437,25.00,15.2549
9844,-100.00,16.4472
10250,-100.00,17.7538
10656,-100.00,19.0605
11047,-100.00,20.3507
11453,-100.00,21.6410
11844,-100.00,22.9477
12266,-100.00,24.2543
12656,-100.00,25.5609
13062,-100.00,26.8839
13453,-100.00,28.2069
13875,-100.00,29.5135
14266,-100.00,30.8201
14672,-100.00,31.2774
15062,-100.00,31.2774
15469,-100.00,31.2774
15875,-100.00,31.2774
16281,-100.00,31.2774
